会社名,勤務地,給与
株式会社エクシードキャリア | ■[履歴書不要で応募OK] WEB面接可 ■増収増益を続ける成長企業,【転勤なし・駅チカ勤務｜名古屋・東京・大阪のいずれか】 名古屋本社 愛知県名古屋市中村区名駅4-2…,【月給23万円〜52万円（一律手当含む）+ 賞与 + インセンティブ】
EYストラテジー・アンド・コンサルティング株式会社  | 世界150カ国以上で事業を展開するEYグループ,【本社】 東京都千代田区有楽町一丁目1番2号 東京ミッドタウン日比谷 日比谷三井タワー,年俸500万円以上
"ICONIC CO., LTD.  | ”海外発”アジア・グローバルキャリアの転職サポート会社です！",ベトナム・ハノイ,"月給：2,000〜2,500 USD"
パーソルテンプスタッフ株式会社 | 事務デビュー歓迎！大手・優良企業で20代女性が活躍中♪,東京都、神奈川県、大阪府、京都府、兵庫県、愛知県の大手・優良企業 ★転居を伴う転勤はありません ★…,【東京】月給20万9700円以上＋賞与年2回
株式会社日本アジルテック | ◆大手と取引多数で安定性抜群/土日休/年休121日/残業月平均20H,【U・Ｉターン歓迎／駅近オフィス！】 東京・大阪・福岡で同時募集中！ ◎本社／東京都渋谷区富ヶ谷1…,■月給：20万〜40万円
富士通株式会社,【富士通ソリューションスクエアを中心とする各地】 〒144-8588 東京都大田区新蒲田1-17-…,◎月給／25万円以上
株式会社日立社会情報サービス | 日立グループSI事業の中核企業・年間休日125日・離職率2％,【東京、神奈川、埼玉、千葉、愛知、大阪での募集】 ●東京都港区、品川区、江東区、杉並区、ほか東京2…,"月給240,000円〜　"
株式会社京進 | 東証二部上場,【全国で1000ヶ所以上のエリアで出店が可能です】 ※フランチャイズ本部も東京・名古屋・京都に設置…,【年間モデル収益】
株式会社セブン銀行 | 東証一部上場★「セブン＆アイグループ」の新しい業態の銀行,—★ 東京駅・大手町駅から直結！通勤しやすい好立地 ★— 本社／東京都千代田区丸の内1-6-1,"月給21万7,000円以上"
株式会社東北電子計算センター | <東京支社>★完休2日／年休122日／残業月20h程／資格祝い金あり,東京都・神奈川県のプロジェクト先 ※勤務地は希望を考慮します。 【プロジェクト先の一例】 東京都…,月給24万〜33万円+住宅手当(月2万6000円/賃貸の場合)+賞与(年2回/年4.0ヶ月)+その他手当
株式会社日立社会情報サービス | 日立グループSI事業の中核企業・年間休日126日・離職率2％,東京都杉並区阿佐ヶ谷北二丁目13番2号　阿佐ヶ谷北口駅前ビル ＜アクセス＞ JR中央線「阿佐ヶ谷駅…,"月給240,000円〜　"
プロンプト・Ｋ株式会社 | 【 東証一部上場 ケイアイスター不動産グループ 】★Web面接OK,◇転勤なし！ ◇UIターン歓迎！ 【 東京オフィス 】 東京都品川区西五反田1丁目11番1号 アイ…,【経験者】月給24万円〜36万円 + 諸手当
株式会社三菱UFJ銀行,●本社：東京都千代田区丸の内2-7-1 ●東京都中央区晴海2-1-40 晴海フロントビル ●東京都…,月給20万5000円以上 
HRNAVI JOINT STOCK COMPANY | ベトナムでの転職に特化した人材紹介会社です！,ベトナム ハノイ,"月給：Gross 2,000USD〜3,000USD (1USD＝109.83円/2021年4月8日現在)   "
