会社名,勤務地,給与
株式会社ウェブフロンティア  | 【横浜ランドマークタワー31階☆リモートワークも積極導入中！】,◆リモートワークも積極的に導入中！ 【首都圏】 桜木町オフィス（2019年4月開設） みなとみらい…,【年俸制】 
株式会社ウェブフロンティア | 横浜ランドマークタワー31階。開発強化のため2018年5月増床移転,◆リモートワークも積極的に導入中！ 【首都圏】 桜木町オフィス（2019年4月開設） みなとみらい…,【年俸制】 
株式会社九州共栄システムズ | ★Web面接＆事前面談実施中 ★上場企業グループ ★年間休日120日,★原則転勤なし ＆ UIターン歓迎 【本社】 福岡県福岡市博多区博多駅東2丁目4番30号 いわきビ…,月給22万円〜38万円  ＋諸手当
大栄システム株式会社 | ◆完全週休2日(土日祝)/残業少なめ/各種手当・福利厚生も充実◎,茨城県土浦市または鹿嶋市 (本社もしくは土浦事務所での勤務もあります) 【将来的には茨城へのU・I…,月給：25万円〜+各種手当+賞与
株式会社うえじまインベストメント | うえじまグループとして強固な安定基盤！福利厚生・手当充実★,【本社・各営業所、または東京都、神奈川県、愛知県、大阪府、京都府、宮城県のプロジェクト先】 ※希望…,月給：30万円以上
株式会社エイビス | ★完全週休2日制 ★在宅勤務OK ★上流工程で活躍 ★残業少なめ,★転勤なし【大分・東京同時募集！】 ★U・Iターン歓迎 ■大分本社 大分市金池町3-3-11 ◎「…,月給23万円〜40万円 + 諸手当
アイピーシステム株式会社 | 富士通／ベネッセ／NTTデータグループ各社など大手企業と取引◎,＼ U・Iターン歓迎 ／ ◎岡山市・高松市・大阪市のいずれか（希望考慮） 本社 岡山県岡山市北区北…,"月給 217,000円以上＋諸手当"
株式会社エイプリルナイツ | 完全週休2日制・土日祝休み・年休120日以上・残業月平均10H以内,★転勤なし ・本社または東京都（23区内）、神奈川県・千葉県・埼玉県内のお客様先での勤務となります…,月給／30万円〜50万円
ビートテック株式会社 | 「エンジニアファースト」を掲げる設立7年目のフレッシュな企業,【東京・神奈川・千葉・埼玉のプロジェクト先】 本社／東京都品川区西五反田7-20-9 KDX西五反…,月給25万円以上
株式会社ＫＰＩソリューションズ | インターネットマーケティングや人工知能技術を開発・提供,東京都中央区銀座8-15-2 ACN銀座ビル ※転勤なし 【アクセス】 JR東日本 [新橋駅]徒歩…,"月給375,900円〜583,800円"
ビートテック株式会社 | 「エンジニアファースト」を掲げる設立7年目のフレッシュな企業,東京都、神奈川県、千葉県、埼玉県、大阪府内のプロジェクト先での勤務となります。 ※プロジェクト先は…,年俸制300万円〜650万円
イー・バレイ株式会社 | あなたの手で、世の中にない製品を生み出しませんか？,■本社または、愛知、岐阜、三重のプロジェクト先企業 (勤務先については希望を考慮いたしますので、お…,経験者：月給25万〜40万円
株式会社ウェブエッジ | 大手企業プロジェクトをはじめ開発・インフラなど幅広い案件あり,【転居を伴う転勤なし】 【東京本社】 東京都中野区弥生町1-9-8 トーソービル2F 東京本社、も…,月給25万円〜50万円(固定残業代含む)
株式会社アルトナー | 東証一部上場。9割が未経験入社でもトップレベルの技術力が自慢,横浜・宇都宮・大阪・名古屋の各事業所管内のプロジェクト先にて勤務していただきます。 勤務地は、希望…,"月給／23万9,000円以上＋各種手当＋賞与（年2回）"
エヌアイシィ株式会社 | ＜入社後3ヶ月の研修有＞資格取得支援／住宅手当／年間休日124日,研修期間中は、東京本社勤務となります。 【関東】 東京、神奈川、埼玉、千葉のプロジェクト先 ※転勤…,月給25万円以上
日本フロンティアシステムズ株式会社 | 多種多様なITサービスを展開する「Ｊグループ」～無借金企業～,本社／東京都千代田区神田須田町2-23-1 ※転移を伴う転勤なし,"月給234,000円〜"
グローバルデザイン株式会社 | ◎年休120日以上◎残業少なめ◎マネージャー候補,＜本社（静岡市葵区）または東京オフィス（港区）または山梨オフィス（甲府）での勤務となります。＞ 【…,【東京】月給33万〜39万円
ビートテック株式会社 | 「エンジニアファースト」を掲げる設立7年目のフレッシュな企業,東京都、神奈川県、千葉県、埼玉県、大阪府内のプロジェクト先での勤務となります。 ※プロジェクト先は…,年俸制300万円〜650万円
コムテック株式会社 | 【 2021年5月15日(土) マイナビ転職フェア鹿児島に出展します 】,【南九州センター】 鹿児島県鹿児島市西田1-5-1 鹿児島高見橋ビル 4F,月給19万円〜40万円＋残業手当
S・Ｔ・Ｋ株式会社 | ＜ 創業36年 ＞販売管理システムの開発を行う熊本の地域密着企業,◆転勤なし◆マイカー通勤OK◆UIターン歓迎 □ 熊本県熊本市東区健軍本町30-4 ※客先常駐で勤…,月給24万円〜35万円 + 諸手当
日本フロンティアシステムズ株式会社 | 多種多様なITサービスを展開する「Ｊグループ」～無借金企業～,本社／東京都千代田区神田須田町2-23-1 ※転移を伴う転勤なし,"月給243,000円〜"
アイピーシステム株式会社 | 富士通／ベネッセ／NTTデータグループ各社など大手企業と取引◎,＼ U・Iターン歓迎 ／ ◎岡山市・高松市・大阪市のいずれか（希望考慮） 本社 岡山県岡山市北区北…,"月給 217,000円以上＋諸手当"
株式会社Suneight | ◆完全週休2日制／年間休日121日／長期休暇あり,【本社勤務】東京都新宿区新宿2-15-22 Landwork新宿ビル4F ※転勤は当面ありません…,"年俸制4,000,000円〜7,000,000円"
株式会社ＫＰＩソリューションズ | インターネットマーケティングや人工知能技術を開発・提供,東京都中央区銀座8-15-2 ACN銀座ビル ※転勤なし 【アクセス】 JR東日本 [新橋駅]徒歩…,"月給300,000円〜542,000円"
FacePeer株式会社 | (株)マイナビと資本業務提携！急成長中のWeb通話サービスを展開,★本社勤務★転勤なし！※自転車通勤用駐輪場あり 東京都港区赤坂8-5-40 ペガサス青山230 ＜…,年俸350万円〜900万円
リバーコンティニュー株式会社 | 大阪府緊急雇用対策に賛同／年間休日休暇126日で働きやすさ抜群,《梅田エリア勤務★転勤なし》 ■大阪府大阪市北区太融寺町2-21 ニュープラザビル11F ⇒社内受…,■月給25万円〜50万円
専門学校 岡山情報ビジネス学院 | 【 カバヤ・オハヨーグループ 】★10日以上の長期休暇取得可能！,【 転勤なし／JR岡山駅すぐ！ 】 ■専門学校岡山情報ビジネス学院 岡山県岡山市北区駅元町1-4…,"■月給 200,400円 〜 320,000円 ＋ 諸手当"
株式会社アローズ・システムズ | 8割以上プライム案件！資格取得や外部研修等の費用会社全額負担,本社または神奈川県、東京都のお客様先 【アクセス】 〒220-6007 神奈川県横浜市西区みなとみ…,月給20万5千円〜35万円
株式会社System Tomorrow | 受託開発のみ！100％自社内開発⇒なので残業も転勤も無し！,—★自社内での開発が100％なので転勤はありません！ —★住宅補助制度あり／綾瀬駅より徒歩3分 —…,月給：23万円〜40万円
株式会社セキュアイノベーション | 沖縄本社／専門特化した技術で企業の情報セキュリティを守る！,沖縄県那覇市上之屋1-18-36 沖縄映像センタービル3F,"月給 240,000円〜500,000円"
株式会社オロ | 東証一部上場／テクノロジー×クリエイティブのエキスパート企業,【東京本社】 東京都目黒区目黒3-9-1 目黒須田ビル ※「目黒駅」徒歩10分,月給25万円〜55万円
株式会社スタイルネット | ★大手企業との取引実績多数 ★残業は月平均12時間程度,【 転勤なし 】 長崎県長崎市五島町3番10号　YSビル202号 ※U・Iターン歓迎 ※マイカー・…,月給20万円〜35万円 ＋ 諸手当
ウチダエスコ株式会社 | 内田洋行グループ/JASDAQ上場/完全週休2日/各種手当・制度充実,東京都江東区木場五丁目8番40号　東京パークサイドビル ＜アクセス＞ 東京メトロ東西線 木場駅徒歩…,月給：31万円以上
クリエーションライン株式会社 | 《クラウドインフラのリーディングカンパニー》★完全週休2日制,【テレワーク推奨】 東京本社／東京都千代田区神田佐久間町3-6 M’s WORKS BLDG 2F…,月給37万円〜
株式会社ネットワーク応用技術研究所 | 【 九州電力グループ 】完全週休2日制(土日祝)／残業月平均15.8h,《 転勤なし 》東京・福岡各事業所での募集となります。 【 東京事業所 】 東京都港区新橋4-7-…,月給26.6万円〜 ＋ 諸手当
株式会社セキュアイノベーション | 専門特化した技術で企業の情報セキュリティを守る！,新たに開設した名古屋の拠点または沖縄本社 ▼名古屋 愛知県名古屋市中川区尾頭橋4-13-7 nab…,【名古屋勤務】
シーイーシー新潟情報サービス株式会社 | 法人企業から官公庁まで、ITの力で様々なお客様を支える企業！,新潟県新潟市中央区鐙2-10-6 ※マイカー通勤OK（駐車場完備）,"月給18万500円〜28万9,000円（一律手当含む）"
株式会社フルマークス | 顧客から「満点」をいただけるシステム構築を目指す少数精鋭SIer,本社 東京都千代田区神田神保町1-14-3 MT-O神保町 【駅より徒歩2分】,月給
プロンプト・Ｋ株式会社 | 【 2021年5月15日(土) マイナビ転職フェア鹿児島に出展！】,◇転勤なし！ ◇UIターン歓迎！ 【 鹿児島オフィス 】 鹿児島県鹿児島市荒田1丁目4-14 丸田…,月給21万円〜36万円 + 諸手当
株式会社オデッセイコミュニケーションズ | [新しい資格。新しいキャリア。]★完全週休2日 ★残業月10h程度,当社本社（東京都千代田区丸の内3-3-1　新東京ビル B1） 〈アクセス〉 ■JR山手線「有楽町駅…,月給:23.3万円〜40万円 ＋ 賞与年2回
ソニーネットワークコミュニケーションズ株式会社,東京都品川区東品川4-12-3　品川シーサイド TSタワー 【アクセス】 『品川シーサイド駅』出口…,月給23万9000円以上
山九株式会社 | 東証1部上場｜創業102年｜グローバルに事業展開中,シンガポール現地法人（山九東南アジアホールディングス株式会社）出向勤務 約半年から1年程度、下記国…,＜月給＞23万円〜32万円
株式会社オデッセイコミュニケーションズ | [新しい資格。新しいキャリア。]★完全週休2日 ★残業月10h程度,当社本社（東京都千代田区丸の内3-3-1　新東京ビル B1） 〈アクセス〉 ■JR山手線「有楽町駅…,月給26.6万円〜
株式会社LeoITコンサルティング | 【2019年の設立から順調に業績拡大中です！】,【名古屋市内の常駐先での勤務となります】 ◆本社 愛知県名古屋市中区丸の内2-18-10 丸の内ア…," 月給25万6,000円以上"
株式会社クロスワープ | 設立20周年を迎えた業界のリーディングカンパニー,【転勤なし・在宅ワークも導入中】 東京都品川区上大崎3-2-9 アクア目黒3F ※「目黒駅」徒歩2分,年俸制400万円〜500万円
株式会社ミネルヴァ | <親会社は東証一部上場企業>医療系スタートアップメンバーの募集,★全国どこでも勤務可能★ *リモートワークを導入しているので、どこにいても勤務が可能です。 *満員…,月給33万円〜50万円
CPAエクセレントパートナーズ株式会社 | 公認会計士等の資格取得を支援する資格スクール◆20～30代活躍中,【転勤なし／駅近！東京募集】 【水道橋校】 東京都千代田区神田三崎町3-6-9 水道橋ビル 4F…,月給25万円〜50万円 + 賞与 + 残業代
株式会社アンバランス | AIを活用したIntelligence Boardサービス等の企画から提供まで,東京都千代田区神田神保町1-3-5 冨山房ビル4F 【アクセス】 都営地下鉄新宿線、三田線「神保町…,月給
株式会社クロスワープ | 設立20周年を迎えた業界のリーディングカンパニー,【転勤なし・在宅ワークも導入中】 東京都品川区上大崎3-2-9 アクア目黒3F ※「目黒駅」徒歩2分,年俸制350万円〜400万円+在宅勤務手当(月1万円)※年俸380万円以下の場合
株式会社メディパス | 完全週休2日制／年間休日120日／有休取得率80％以上/PC選べます,【転勤はありません】 ◆東京本社 東京都品川区西五反田2-29-5 日幸五反田ビル7階 ※「五反田…,月給28万円以上
株式会社アイセック  | 健康への不安を、安心に変える。新潟大学発の医療ベンチャー,新潟県新潟市中央区水道町2-5932-165,"月給：25万円〜41万6,000円（一律支給の手当含む）"
株式会社フジワーク | 残業1日平均1h/土日祝休/有給取得率80％/住宅手当有/残業代支給,☆転勤なし（希望に沿わない転勤はありません） ☆U・Iターン歓迎 ☆勤務地は希望を考慮します 東京…,月給20万円〜+技術手当+各種手当+残業代
株式会社フジワーク | 残業1日平均1程度／土日祝休 ／有給取得率80％／住宅手当あり,☆転勤なし（希望に沿わない転勤はありません） ☆U・Iターン歓迎 ☆勤務地は希望を考慮します 東京…,月給20万円〜＋技術手当 + 各種手当 + 残業代
アテイン株式会社  | eラーニングソリューションや映像コンテンツ制作を展開中,東京都千代田区神田須田町2-19-8酒井ビル6Ｆ,月給
株式会社アイセック  | 健康への不安を、安心に変える。新潟大学発の医療ベンチャー,新潟県新潟市中央区水道町2-5932-165,月給：33万円〜50万円（一律支給の手当含む）
株式会社一蔵 | ～ 日本文化を未来へつなぎ、感動を創り出す『感動創造企業』～,＜埼玉本社＞ 埼玉県さいたま市北区大成町4-699-1 【アクセス】 JR川越線　日進駅　徒歩12…,年俸制：350〜450万円以上
航空集配サービス株式会社 | 【昭和45年・エアカーゴ専門陸上輸送の企業！全国に13か所拠点】,【本社】 千葉県習志野市東習志野1-6-17 ※マイカー通勤可能 ※駐車場完備,月給22万円〜35万円
株式会社インフォキューブLAFLA | 大手企業との共同開発/残業時間10h/年休120日/30代男性活躍中！,【日本大通り駅から徒歩3分！アクセス良好！】神奈川県横浜市中区日本大通11 横浜情報文化センター1…,【経験の浅い方】月給25万円〜＋賞与年2回　
株式会社NEXCOシステムズ | NEXCOグループ唯一のIT企業◆年休120日以上◆完週休2日(土日祝),《伏見駅より徒歩1分！》 【名古屋支店】 愛知県名古屋市中区錦1−10−20 アーバンネット伏見ビ…,月給：24万3千円（本給）以上
株式会社アールラーニング | キャリアプラン制度、評価面談で年収12万円アップは当たり前！,【転勤なし・UIターン歓迎・交通費月5万円まで支給】★勤務地は希望を考慮します！ ■本社／東京都新…,■月給25万円〜
ArchiTek株式会社 | 独自のアーキテクチャ『aIPE』の開発で、今注目を集める企業！,★転勤なし、リモート勤務あり ■大阪本社 大阪府大阪市西区北堀江1丁目1番29号 四ツ橋MT長谷ビ…,月給35万円〜60万円
株式会社アール・シー・エス | 《西日本放送グループ》#100％自社開発 #土日祝休み #転勤なし,《 本社：香川県高松市錦町2丁目2番17号 》 ※在宅勤務もOK ※転勤なし ※U・Iターン歓迎…,月給22万円〜35万円＋諸手当
株式会社グローティー | 2020年設立のこれからの企業！これからの成長に携われます！,【転勤なし】 大分県大分市城崎町1丁目3番6号 S+T城崎204号,"月給／25万〜65万5,000円　＋諸手当"
株式会社ビジョン・コンサルティング | ◆AIなど最新技術を駆使 ◆転勤なし ◆「四谷三丁目駅」徒歩3分,【転勤なし】 東京本社、お客様先、もしくはリモートワーク 【本社への交通アクセス】 「四谷三丁目駅…,月給35.7万円〜142.8万円
株式会社キャリアインデックス  | 【東証一部上場企業】フレックスタイム*土日祝休み*年休122日！,【転勤なし／U・Iターン歓迎】★2020年6月に白金台に本社を移転！ 本社／東京都港区白金台5-1…,"月給34万3,750円〜60万6,250円"
株式会社アイ・エー・アイ | 【大手417社と取引】納得の評価制度★リモート勤務案件も多数！,【希望エリアの案件にアサイン】 東京都／神奈川県／愛知県名古屋市（PM案件）のプロジェクト先 ★W…,月給25万円〜41万円
株式会社大谷商会  | 《創業99年の専門商社》産業機械、花き、食品、ITなど商品も多彩,本社：新潟県新潟市東区逢谷内463 《転勤なし/Ｕ・Ｉターン大歓迎（マイカー通勤可）》 ※配属先は…,"月給：18万9,000円〜32万円（一律手当含む）＋諸手当"
株式会社ビジョン・コンサルティング | ◆AIなど最新技術を駆使 ◆転勤なし ◆「四谷三丁目駅」徒歩3分,・転勤なし ・基本的にフルリモートワーク 本社所在地：東京都新宿区四谷4-3-1 ワールド四谷ビル…,月給28.5万円〜57.1万円
株式会社大谷商会  | 《創業99年の専門商社》産業機械、花き、食品、ITなど商品も多彩,本社：新潟県新潟市東区逢谷内463 《転勤なし/Ｕ・Ｉターン大歓迎（マイカー通勤可）》 ※配属先は…,"月給：18万9,000円〜32万円（一律手当含む）＋諸手当"
CES中電株式会社 | 「ハイテク企業」のグループ＝グローバル案件◎,【グローバル×リラックスした雰囲気のオフィス】 ★UIターン歓迎 ★転居を伴う転勤なし ★東京・神…,【年俸】350万円以上＋残業代全額支給
株式会社スナーク | 本社勤務／1次受けのみ／残業時間平均20時間以内／年間休日127日,【転勤なし】 ＜本社＞ 東京都台東区寿2‐10‐11　MS田原町ビル6F ☆社員80％以上が在宅で…,"月給：250,000円以上"
株式会社ファルコン | ～社会に役立つソフトウェアを考えます～,愛知県名古屋市中区栄2-2-5　電気文化会館8F ※転勤なし ※自社内開発 ※テレワーク制度策定中…,月給 23万円~27万円＋賞与年2回
株式会社メタップスペイメント | テクノロジーでお金と経済のあり方を変える ！残業1日1ｈ程度♪,在宅勤務実施中 東京都港区三田1-4-1 住友不動産麻布十番ビル3F 【アクセス】 都営地下鉄大江…,月給32万円〜43万円＋賞与年2回
株式会社メタップスペイメント | テクノロジーでお金と経済のあり方を変える ！残業1日1ｈ程度♪,東京都港区三田1-4-1 住友不動産麻布十番ビル3F 【アクセス】 都営地下鉄大江戸線「赤羽橋駅」…,月給32万円〜43万円＋賞与年2回
グローバルテクノロジー宮崎株式会社 | 豊富な案件の中から、あなたの経験や希望に合わせてアサイン！,【原則転勤なし】 福岡県、宮崎県、東京都内の各プロジェクト先へ配属します。,月給／22万円以上　＋諸手当
有限会社ａ－ＬＩＮＫ | 上流工程からワンストップ！/年間休日124日/横浜勤務で転勤なし,新横浜事業所 〒222-0033　横浜市港北区新横浜2-3-9　新横浜金子ビル９F JR横浜線、地…,年俸制
有限会社ａ－ＬＩＮＫ | 上流工程からワンストップ！/年間休日124日/横浜勤務で転勤なし,新横浜事業所 〒222-0033　横浜市港北区新横浜2-3-9　新横浜金子ビル９F JR横浜線、地…,年俸制
"アルトア株式会社 | 弥生(株)とオリックス(株)が手掛ける""新事業”の運営会社",【転勤なし！客先常駐なし・本社(秋葉原)勤務のみ》 東京都千代田区外神田 ４-14-1 秋葉原 U…,年俸制400万円〜800万円
株式会社ヴァーナル | 【創業30周年／安定企業で活躍】Web面接実施中！,※UIターン歓迎 ※転勤なし 【福岡本社】 福岡県福岡市博多区博多駅前4-6-15,"月給219,900円〜366,500円 + 諸手当"
梅田電機株式会社 | 『大阪ものづくり優良企業賞』受賞★多分野の大手企業と多数取引,◎転勤なし ◎「福島」駅より徒歩3分の好アクセス ◎U・Iターン歓迎します 本社／大阪府大阪市福島…,月給：21万円〜30万円＋諸手当＋賞与年2回＋（残業実績）
有限会社キャリアボックス | ＜富士通グループのパートナー企業＞土日祝休み／年休121日,◆東京都23区内、横浜市、川崎市の各プロジェクト先 ※配属先は、ご希望や適性を考慮して決定いたしま…,◆月給／22万円〜35万円以上＋賞与（年2回）
ゼビオコミュニケーションネットワークス株式会社 | 東証一部上場グループ／スポーツを軸に様々な事業領域へ,東京都千代田区神田小川町3-4-2 御茶ノ水三四ビル ※転居を伴う転勤なし ＜アクセス＞ 「小川町…,月給27万8205円〜
ゼビオコミュニケーションネットワークス株式会社 | 東証一部上場グループ／スポーツを軸に様々な事業領域へ,東京都千代田区神田小川町3-4-2 御茶ノ水三四ビル ※転居を伴う転勤なし ＜アクセス＞ 「小川町…,月給34万7615円〜
ゼビオコミュニケーションネットワークス株式会社 | 東証一部上場グループ／スポーツを軸に様々な事業領域へ,東京都千代田区神田小川町3-4-2 御茶ノ水三四ビル ※転居を伴う転勤なし ＜アクセス＞ 「小川町…,月給41万7125円〜
株式会社テクノウォーカー | 若手の成長を後押し！20代、30代活躍中！,関東近郊 ※参画プロジェクトに応じて異なる場合があります。,月給18万円〜（資格手当その他諸手当がつき、入社1年で5万円アップした方もいます）
株式会社富澤商店 | （TOMIZ）｜創業102年｜お菓子・パン作りの材料器具専門店,◆勤務は、有楽町の本社と相模原センター半々になります。 【本社】東京都千代田区有楽町1-9-4 1…,年俸制600万円 〜 800万円
太陽誘電株式会社 | <東証一部上場>◆年休126日◆完全週休2日制,【高崎グローバルセンター】群馬県高崎市栄町8-1,【月給日給制】24万円〜＋諸手当
株式会社DearOne | 旧社名：ロケーションバリュー【NTTドコモグループ】年休130日,【転勤なし】 ★完全自社勤務／客先常駐なし ★本社は虎ノ門ヒルズ駅から徒歩約1分 開発環境 ￣￣￣…,"月給296,000円〜469,000円"
株式会社イーヴンPLUS | ★安定経営の独立系ソフトハウス ★年間休日121日（土日祝）,東京都品川区のクライアント先での勤務となります。,月給23万円〜40万円（一律手当含む）
株式会社エーティーティーソリューションズ | 完全週休2日制・土日祝休み・年間休日120日以上,東京都新宿区大久保3丁目8‐2　住友不動産新宿ガーデンタワー,月給 20万円〜30万円 ＋賞与
株式会社NEXCOシステムズ | NEXCOグループ唯一のIT企業◆年休120日以上◆完週休2日(土日祝),《西新宿駅より徒歩2分！3駅利用可能！》 【本社】 東京都新宿区西新宿6丁目8番1号　住友不動産新…,月給：24万3千円（本給）以上
株式会社ジェーピークリエイト | 大手企業とのプライム案件を自社内で設計から運用まで担当,★転勤なし《芝公園駅・大門駅から徒歩圏内》 東京都港区芝2-27-8 VORT芝公園2階,月給：27万円〜+賞与2回
インターナショナルシステムズ株式会社 | 前給保証/直近2年離職率0％/創業から13年連続黒字/Skype面接可能,静岡本社（静岡市葵区）・浜松オフィス（浜松市中区）・取引先（東京都品川区/神奈川県中井町/浜松市中…,月給25万円〜50万円
株式会社アスプコミュニケーションズ | 株式会社プロネクサス(東証一部上場)の100%子会社,本社／富山県富山市婦中町島本郷10-8 ※転勤なし（グループ会社への長期研修を実施する場合有） ※…,月給22万円〜35万円
株式会社SUPER STUDIO | ◆20～40代活躍中／フレックスタイム制／リモートワーク可能,本社／東京都目黒区下目黒2-23-18　目黒山手通ビル8F,"月給296,740円〜406,160円"
ナイル株式会社 | デジタルマーケティングで社会を良くする事業家集団,【転勤なし】 東京都品川区東五反田1-24-2 東五反田1丁目ビル7階 ※「五反田駅」徒歩5分,年俸制600万円〜1000万円
ナイル株式会社 | デジタルマーケティングで社会を良くする事業家集団,【転勤なし】 東京都品川区東五反田１-２４-２ 東五反田1丁目ビル７階 東京都品川区東五反田１-２…,年俸制600万円〜900万円
ナイル株式会社 | デジタルマーケティングで社会を良くする事業家集団,【転勤なし】 東京都品川区東五反田１-２４-２ 東五反田1丁目ビル７階 東京都品川区東五反田１-２…,年俸制400万円〜700万円
株式会社アイセル,本社 〒110-0005 東京都台東区上野3-24-6 上野フロンティアタワー12F 大阪支社 〒…,"◆月給229,000円〜283,000円"
ナイル株式会社 | デジタルマーケティングで社会を良くする事業家集団,【転勤なし】 東京都品川区東五反田1-24-2 東五反田1丁目ビル7階 ※「五反田駅」徒歩5分,年俸制400万円〜700万円
ナイル株式会社 | デジタルマーケティングで社会を良くする事業家集団,【転勤なし】 東京都品川区東五反田１-２４-２ 東五反田1丁目ビル７階 東京都品川区東五反田１-２…,年俸制700万円〜900万円
株式会社ネクサスウィング | ◆年間休日120日／完全週休2日制(土日)／賞与年2回支給！,本社または東京23区内のプロジェクト先 ＜本社＞ 東京都千代田区神田富山町24番地 神田富山町ビル…,月給25万円〜35万円
ナイル株式会社 | デジタルマーケティングで社会を良くする事業家集団,【転勤なし】 東京都品川区東五反田1-24-2 東五反田1丁目ビル7階 ※「五反田駅」徒歩5分,年俸制500万円〜900万円
ナイル株式会社 | デジタルマーケティングで社会を良くする事業家集団,【転勤なし】 茨城県つくば市吾妻1丁目7番地1 つくばクレオスクェア クレオ棟5階 【アクセス】つ…,年俸制400万円〜800万円
情報テクノ株式会社 | 【2019年3月に設立】新しい環境で新しいキャリアをスタート！,本社もしくは顧客先での勤務となります。（※交通費全額支給！） 【本社】東京都青梅市千ヶ瀬2-203…,【月給】27万円〜36万円
株式会社バーズ情報科学研究所 | パソコンOCRソフト開発に成功した日本のリーディングカンパニー,★蒲田駅徒歩スグの駅前好立地！ ◎転勤なし 【蒲田センター】 東京都大田区蒲田5−15−8 蒲田月…,月給23万円〜28万円
AGCアメニテック株式会社 | AGC株式会社(東証一部上場)のグループ会社 ☆建築環境工学専門,【転勤なし】 ＊各線「上野駅」より徒歩7分 ＊東京メトロ銀座線「稲荷町駅」より徒歩７分 【本社】東…,"月給201,000円〜265,000円　+各種手当+賞与年2回（4.7カ月分）"
株式会社キャッツ | 《横浜密着37年◎ユースエール認定企業》年休123日/フレックス制,★「桜木町駅」より徒歩5分★「馬車道駅」より徒歩4分！ 【本社】 神奈川県横浜市中区相生町6-10…,月給28万円以上+賞与（平均4.5ヶ月）
株式会社セーフマスター | 九州屈指の医薬品・医療機器商社「アステム」のグループ会社,＜転勤なし！＞ ＜地下鉄「東比恵駅」より徒歩１分＞ 福岡市博多区東比恵3-1-2 東比恵ビジネスセ…,"月給　190,000円〜300,000円＋諸手当"
株式会社テクノプロ | 【テクノプロ・エンジニアリング社】※年間休日123日,【UIターン歓迎】 広島内近郊のプロジェクト先への配属となります。 （広島市内及び、安芸郡府中町の…,月給：25万円以上
株式会社アルコン | 『新潟県ハッピーパートナー企業』完全土日休み♪働きやすさ◎,《品川駅から徒歩9分！駅チカで働きやすい》 東京支店：東京都港区港南2-12-27イケダヤ品川ビル…,"月給25万円〜38万8,000円＋諸手当"
株式会社天公システム | ★拡大中の外資系コンサル企業／年休120日以上／完休2日(土日祝),■本社／東京都千代田区神田西福田町4-1 メディックスビル4階 ※転勤はありません ＜アクセス（J…,"月給33万3,333円〜66万6,666円"
株式会社テクノプロ | 【テクノプロ・エンジニアリング社】※年間休日123日,【UIターン歓迎】 広島内近郊のプロジェクト先への配属となります。 （広島市内及び、安芸郡府中町の…,月給：25万円以上
株式会社セーフマスター | 医薬品商社「アステム」を中核に持つフォレストHDの一員,＜転勤なし！希望の勤務地に配属＞ ■東京都中央区日本橋　■福岡市博多区東比恵　■大阪市淀川区宮原…,"月給　190,000円〜300,000円＋諸手当"
株式会社プラグ | 「AI×リサーチ×デザイン」で変革を起こすベンチャー企業,★転勤なし ★フルリモートも応相談 ★神保町駅より徒歩3分の駅チカでアクセス抜群♪ 【本社】 〒1…,月給32万円以上
株式会社SOBAプロジェクト | 「ビジュアルコミュニケーションシステム」を開発する成長企業,【転勤なし／U・Iターン歓迎】 希望により、 京都本社（京都市）またはフルリモートでの勤務。 〜本…,月給40万円〜50万円
株式会社グリーンシステム | #原則リモート勤務 #年間休日127日 #土日祝休み,【転勤なし】 本社 東京都新宿区新宿2-9-23 SVAX新宿B館7F,"月給500,000円以上"
株式会社テレビ朝日メディアプレックス  | 【テレ朝グループ】★フレックスタイム ★原則在宅勤務,《転勤ナシ》 １．テレビ朝日メディアプレックス本社 (東京都港区都港区西麻布1-2-9 EXタワー…,月給25万円〜＋賞与年2回＋諸手当
株式会社グリーンシステム | #原則リモート勤務 #年間休日127日 #土日祝休み,【転勤なし】 本社 東京都新宿区新宿2-9-23 SVAX新宿B館7F,"月給333,000円以上"
株式会社ヒューマンキャピタル | 福岡支店　【 システム設計開発の独立系ソフトウェア企業 】,【 転勤なし ＆ U・Iターン者には転居費用補助あり 】 ■ 福岡支店 ■ 福岡県福岡市博多区博多…,月給21万200円〜45万6000円　＋　各種手当
ルミーズ株式会社 | 働きやすさ◎残業月15h程度／キャッシュレス・WEBアプリ開発企業,＼ 転勤なし ／ 【本社】 長野県小諸市本町3-2-25 菱屋本町ビル ★マイカー通勤OK（駐車場…,月給22.9万 〜40万円 ＋ 年収調整 ＋ 諸手当
テレビ静岡システムクリエイツ株式会社,本社／静岡県静岡市駿河区栗原18-65,"月給218,000円〜312,000円"
株式会社コスモウェーブ  | オブジェクト指向開発に定評！最先端開発技術に携われる！,■福岡本社（博多駅より徒歩1分） 福岡県福岡市博多区博多駅前3-25-24 八百治ビル2F ■東京…,"月給 200,000円〜480,000円"
株式会社エム・データ | ★民放キー局・大手広告代理店が出資★土日祝休み★深夜残業なし,【転勤なし！】基本在宅勤務となります。月1程出社です。 ◎茨城県水戸市の自社オフィス勤務 ◎マイカ…,月給29万円〜50万円 
株式会社イーグリッド | 官公庁や伊藤忠など大手企業と取引/残業月平均20h/資格手当充実,※転勤無し！本社もしくは東京23区内での勤務となります。 【本社】東京都豊島区東池袋1−47−7…,"月給：275,000円〜"
