会社名,勤務地,給与
株式会社ゼディアルーク | グループ会社を複数擁し、IT事業を展開する成長企業,渋谷本社／目黒支社／首都圏のプロジェクト先 ※勤務地はご希望を考慮します。 ※転勤はありません。…,月給18万円〜80万円 ＋ インセンティブ（プロジェクト単位での業績に応じる）
"株式会社日本技研プロフェッショナルアーキテクト | 3年間は毎年昇給33,000円！4年経過で月給40万も可能！",新宿本社または首都圏各事業所に配属。 ★配属先のプロジェクトにより、テレワーク可。 本社： 東京都…,【未経験者】
株式会社メイテックフィルダーズ  | [東証一部上場／グループ企業]技術派遣のリーディングカンパニー,◇北海道・東北・関東・中部・東海・関西・中国・九州を中心に各地の配属先 ＜勤務地考慮＞ ご希望を考…,月給17万9700円〜47万8225円
株式会社エム・フィールド | リモートワーク積極導入/DX推進&自社サービスも多数リリース予定,【五反田オフィス】 東京都品川区東五反田2-7-18 SOWA五反田ビル4F もしくはプロジェクト…,月給24万円〜
株式会社夢テクノロジー | 【大阪府緊急雇用対策に賛同】年休120日以上！残業少なめ,＜各エリアにて採用中！＞ ※在宅ワーク可能なプロジェクトもあります！ ※希望エリアを考慮 ※U・I…,◆月給19.5万円〜27万円(一律手当3万含む)＋残業手当100％＋交通費＋賞与2回
株式会社メイテックフィルダーズ  | 【東証一部上場／グループ企業】最先端領域のシステム開発を担当,◇北海道・東北・関東・中部・東海・関西・中国・九州を中心に各地の配属先 ＜勤務地考慮＞ ご希望を考…,月給17万9700円〜47万8225円
株式会社セラク | 大阪府緊急雇用対策に賛同☆東証一部上場企業☆33期連続黒字経営,＜首都圏積極採用中＞ 東京・横浜・大阪・札幌・名古屋・福岡の本社または各支社・支店 及び近郊のプロ…,東京/千葉/埼玉:月給22万~40万円
アクティブ・アイティ株式会社 | キヤノンM・富士通など大手と直取引の上流・大型案件多数,東京本社または首都圏のプロジェクト先（東京、神奈川、千葉、埼玉） ＜東京＞ 千代田区、中央区、港区…,月給:30万円以上＋残業代100％支給＋賞与
株式会社ライズテック | [TOKYO働きやすさ改革宣言企業] ★9連休OK！ ★在宅勤務補助あり,《在宅勤務実施中！》本社またはプロジェクト先(東京都内中心)での勤務となります。 ◆本社／東京都中…,月給23万円〜45万円
株式会社HYBES | 東証一部上場/TSIホールディングスグループ★フレックスタイム制,《転勤なし／在宅ワークOK》 東京都港区北青山1-2-3 青山ビル6階 〜アクセス〜 銀座線・半蔵…,月給21.5万円〜45万円＋賞与年2回＋諸手当
株式会社KDDIエボルバ | 東証1部上場企業グループ◆在宅(テレワーク)もOK！賞与年2回♪,【転勤なし☆東京23区内もしくは宮崎市での勤務！】※希望を考慮します。 ★定着率95％の好待遇★…,月給25万円〜+残業手当（1分単位で支給）+諸手当
株式会社リクルートR&Dスタッフィング | リクルートグループ｜年間休日120日以上,【全国30都府県】 ※希望勤務地考慮 ※IUターン歓迎 (関東エリア)：東京、神奈川、埼玉、千葉、…,月給20万円〜44万円
株式会社ケアリッツ・アンド・パートナーズ | <ITと介護事業を手がける成長企業>毎年140%以上の増収★残業少,【交通費全額支給・転居を伴う転勤なし】 ★新宿ミライナタワー、または都内、埼玉県、神奈川県、千葉県…,■月給35万円〜80万円＋諸手当＋賞与2回
IFS株式会社 | ★リモートワーク（全体の約80%）★産業医による抗体検査も可能,《★リモートワークも実施中（全体の約80%）》 《★五反田オフィスで積極採用！》 《★転居をともな…,月給 25万円〜60万円 ＋ (各種手当)
タイズ株式会社 | 前年比222％成長中！年休125日／残業ほぼ0／資格取得支援制度有,東京都23区内の各プロジェクト先 ※希望・交通費支給上限内を考慮して決定します。 【本社】 東京都…,"IT業界未経験 月給：200,000円〜"
株式会社アルトナー | 実績59年目／東証一部上場／業界トップクラスの技術力が自慢,◆エリア限定制度あり。意欲あふれる20〜30代が活躍中！ 横浜・宇都宮・大阪・名古屋の各事業所管内…,未経験:月給23万9000円以上
株式会社アビリティ | 【第二創業期】◆リモートワーク（8割）◆年休125日◆残業月10H,本社または東京23区内と首都圏（神奈川、埼玉、千葉）を中心とした各プロジェクト先 ※転勤はありませ…,月給:35万円〜50万円＋賞与年2回
株式会社アスページ | ★定着率92％★年1回海外or国内旅行★年休123日★20名採用,本社（東京都千代田区）および、23区・首都圏を中心としたプロジェクト先 ◆プロジェクト先／東京都、…,【経験者】
コムテック株式会社 | 《東海エリア限定採用》★大手クライアントでの業務改善を支援,《 転勤はありません 》 主に愛知県・岐阜県の取引先での勤務となります。 ※あなたのお住まいを考慮…,★月給19.3万円〜25万円＋各種手当＋賞与2回
テクノスクエア株式会社 | 大手SIerやメーカーとの直接取引！高収益の開発会社です。,★転居を伴う転勤なし・UIターンも歓迎！ 【川崎本社】または【東京・神奈川のプロジェクト先】での勤…,"月給23万9,000円以上＋残業手当（全額）＋その他諸手当＋賞与年3回"
株式会社アミストロング | エンジニア目線の会社で、あなたの「やってみたい」を叶える！,東京都台東区の本社　または　東京都・埼玉県・千葉県・神奈川県にある各プロジェクト先。※ご希望を考慮…,"月給289,075円〜520,313円"
株式会社アイビス | 大阪支社★人気アプリ「ibisPaint」1億3千万ダウンロード数突破,【大阪支社】 〒533-0033 ◆大阪市東淀川区東中島1丁目18番22号 新大阪丸ビル別館8階…,"◆月給20万円〜51万8,400円"
株式会社アルテクス | 残業月20h以下／年休125日以上／完全週休2日／家賃補助5割,≪勤務地確約／転居・転勤なし≫ 大阪・広島・福岡・熊本の当社事務所または各エリアのプロジェクト先へ…,月給20万円 〜 55万円
ゼネリックソリューション株式会社 | 【100％自社内開発】■月給30万円～,【渋谷駅近くのオフィスです◎】 開発拠点／東京都渋谷区渋谷3-28-15　渋谷S.野口Bldg.6…,月給30万円〜70万円
株式会社ピーエスクリエイティブ | 【創業23年／コロナ禍でも安定して増収増益】★複数名採用,★転勤なし／U・Iターン歓迎 ★西新宿のオシャレなオフィスも利用できる 東京都23区内を中心とした…,月給30万円〜 ＋ 各種手当
株式会社シャフト | ◎入社祝い金10万円／年休130日以上／エンジニアファースト◎,【転勤なし！遠方からのご応募も歓迎です！】 《本社》 東京都渋谷区恵比寿1-25-1 NAGAHA…,月給32万円以上
株式会社ジョブサポート | ★2500名のSE育成実績あり／完全週休2日制(土日)・残業少なめ★,東京23区内、都内近郊（神奈川、千葉、埼玉）のプロジェクト先 ※転居を伴う転勤はありません。勤務地…,"月給21万5,000円〜45万円"
株式会社Vヴィズリア | ★年休125日超★土日祝休み★残業18h以下★完全週休2日★面接1回,【転勤なし／最寄り駅から徒歩2分でアクセス◎】 ★「代々木」「北参道」の2駅利用できます ◆代々木…,【月給18万円〜】+ 各種インセンティブ
ダットジャパン株式会社 | 札幌にいながら全国の案件に携われる！★土日祝休み ★WEB面接可,【本社】北海道札幌市中央区南3条西5丁目1番1 ノルベサ5階 ※転勤なし ※U・Iターン歓迎,"月給250,000円〜350,000円(一律手当含む)"
株式会社エスユーエス | 【マザーズ上場】前職から給与アップの実績多数/残業月平均19.4h,全国のプロジェクト先 ※ご希望や通勤を考慮し、勤務地を決定します。 ※U・Iターン歓迎！ ＜プロジ…,月給30万円以上 ＋ 各種手当 + 賞与（年2回）
株式会社ビルドイット | 設計からの請負い案件100％で高収入可 ★残業全社月平均10h以下,《転居を伴う転勤なし》 ◆本社 港区芝大門1-10-11芝大門センタービル10F 〜アクセス〜 ・…,月給30万円〜50万円 ＋ 賞与年2回
株式会社エスユーエス | 【マザーズ上場】自社ラボでの研究開発も強み/残業月平均19.4h,全国のプロジェクト先 ※ご希望や通勤を考慮し、勤務地を決定します。 ※U・Iターン歓迎！ ＜プロジ…,月給30万円以上 ＋ 各種手当 + 賞与（年2回）
アクサス株式会社 | 【案件常時1000件以上】プライム案件◆年休125日◆残業月平均15H,【転勤なし／希望エリア／Iターン／Uターンで勤務可能】 東京・愛知・大阪・北海道・広島・香川・福岡…,月給:35万円〜＋諸手当（育児サポート、交通費全額支給、役職、特別作業など)
アクサス株式会社 | 【11年連続2ケタ成長】◆産育休取得率100%◆テレワーク7割実施,【転勤なし／希望エリア／Iターン／Uターンで勤務可能】 東京・愛知・大阪・北海道・広島・香川・福岡…,月給35万円〜＋諸手当（育児サポート手当、交通費全額支給、役職手当、特別作業手当) 
ラーニンギフト株式会社  | バリエーション豊かな案件あり！確かな技術で進化する成長企業,★転勤なし ★勤務地はご希望を考慮 東京都、神奈川県、千葉県、埼玉県、 大阪府、兵庫県、京都府、…,【経験1年未満の方】
Y&I Group株式会社 | 【定着率96％/前職給与保証/賞与あり/年休125日/残業月10H以下】,東京本社（永田町）もしくは都内近郊のプロジェクト先 ※転居をともなう転勤なし ※U・Iターン歓迎…,月給24万円以上＋諸手当＋賞与有　★前職給与UP保障！
株式会社Vuetech | ★最長1年間の研修★残業月0~5H★完休2日制★平均年齢25歳★,【新宿本社】 〒160-0022 東京都新宿区新宿1-19-10 サンモールクレスト 5F 【最寄…,月給20万円〜25万円＋決算賞与＋インセンティブ賞与
株式会社YSLソリューション | 創業以来28年間黒字経営☆上流工程にも携われる☆面接一回！,東京都23区内／神奈川・千葉・埼玉県内の各プロジェクト先に配属します。 ＊住宅手当あり！⇒U・Iタ…,【一般メンバー(PG/SE)クラス ※前職給与保障※】
株式会社アイビネット | 未経験歓迎／年間休日125日／社内イベント多数,【東京支社】と【大阪本社】の2拠点で採用を実施します。※U・Iターン歓迎。 【東京支社】…東京23…,月給23万円以上
オブザーブ株式会社 | 売上連続UP中の成長企業 ★エンジニアファーストの環境で活躍,東京・神奈川・千葉・埼玉の各プロジェクト先にて勤務。 ★転居を伴う転勤なし ★プロジェクトによりリ…,月給38万円以上
株式会社アクロビジョン | 《社員ファースト企業》★定着率90％ ★Web面接1回で内定！,北海道/宮城/東京/神奈川/千葉/埼玉/愛知/大阪/京都/兵庫/広島/福岡 上記から希望勤務地をお…,【経験者】
